"DateTime	ResolutionCode	AllocationId	AllocationModeCode	UpdateDateTime	CapacityProductCode	OutAreaCode	OutAreaTypeCode	OutAreaName	InAreaCode	InAreaTypeCode	InAreaName	Capacity	UpdateTime"
"2016-10-05 00:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 01:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 02:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 03:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 04:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 05:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	0	2022-01-13 10:50"
"2016-10-05 06:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3375.00	2022-01-13 10:50"
"2016-10-05 07:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2683.00	2022-01-13 10:50"
"2016-10-05 08:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	1979.00	2022-01-13 10:50"
"2016-10-05 09:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	1762.00	2022-01-13 10:50"
"2016-10-05 10:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2043.00	2022-01-13 10:50"
"2016-10-05 11:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2774.00	2022-01-13 10:50"
"2016-10-05 12:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	1662.00	2022-01-13 10:50"
"2016-10-05 13:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	1568.00	2022-01-13 10:50"
"2016-10-05 14:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3360.00	2022-01-13 10:50"
"2016-10-05 15:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2908.00	2022-01-13 10:50"
"2016-10-05 16:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2692.00	2022-01-13 10:50"
"2016-10-05 17:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2182.00	2022-01-13 10:50"
"2016-10-05 18:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2706.00	2022-01-13 10:50"
"2016-10-05 19:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	2617.00	2022-01-13 10:50"
"2016-10-05 20:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3075.00	2022-01-13 10:50"
"2016-10-05 21:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3273.00	2022-01-13 10:50"
"2016-10-05 22:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3516.00	2022-01-13 10:50"
"2016-10-05 23:00	PT60M	A_I_BE-NL-00 24-G21	E01		A_D_NL-BE	10YBE----------2	BZN	Elia BZ	10YNL----------L	BZN	TenneT NL BZ	3230.00	2022-01-13 10:50"
